"REF_DATE","GEO","DGUID","Employment size","Variables of interest","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","8425","","","","0"
"2011","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","7766","","","","0"
"2012","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","10188","","","","0"
"2013","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","18991","","","","0"
"2014","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","20453","","","","0"
"2015","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","22029","","","","0"
"2016","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","22733","","","","0"
"2017","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","22405","","","","0"
"2018","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","21190","","","","0"
"2019","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","22050","","","","0"
"2020","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","28000","","","","0"
"2021","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","33446","","","","0"
"2010","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","1983","","","","0"
"2011","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","1650","","","","0"
"2012","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","2071","","","","0"
"2013","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","3977","","","","0"
"2014","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","4446","","","","0"
"2015","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","4687","","","","0"
"2016","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","4874","","","","0"
"2017","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","4849","","","","0"
"2018","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","4480","","","","0"
"2019","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","4656","","","","0"
"2020","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","6570","","","","0"
"2021","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","7481","","","","0"
"2010","Canada","2016A000011124","5 to 9 employees","Number of enterprises","Number","223","units","0","v1105269742","1.3.1","1184","","","","0"
"2011","Canada","2016A000011124","5 to 9 employees","Number of enterprises","Number","223","units","0","v1105269742","1.3.1","1080","","","","0"
"2012","Canada","2016A000011124","5 to 9 employees","Number of enterprises","Number","223","units","0","v1105269742","1.3.1","1315","","","","0"
"2013","Canada","2016A000011124","5 to 9 employees","Number of enterprises","Number","223","units","0","v1105269742","1.3.1","2260","","","","0"
"2014","Canada","2016A000011124","5 to 9 employees","Number of enterprises","Number","223","units","0","v1105269742","1.3.1","2396","","","","0"
"2015","Canada","2016A000011124","5 to 9 employees","Number of enterprises","Number","223","units","0","v1105269742","1.3.1","2637","","","","0"
"2016","Canada","2016A000011124","5 to 9 employees","Number of enterprises","Number","223","units","0","v1105269742","1.3.1","2779","","","","0"
"2017","Canada","2016A000011124","5 to 9 employees","Number of enterprises","Number","223","units","0","v1105269742","1.3.1","2731","","","","0"
"2018","Canada","2016A000011124","5 to 9 employees","Number of enterprises","Number","223","units","0","v1105269742","1.3.1","2751","","","","0"
"2019","Canada","2016A000011124","5 to 9 employees","Number of enterprises","Number","223","units","0","v1105269742","1.3.1","2900","","","","0"
"2020","Canada","2016A000011124","5 to 9 employees","Number of enterprises","Number","223","units","0","v1105269742","1.3.1","3915","","","","0"
"2021","Canada","2016A000011124","5 to 9 employees","Number of enterprises","Number","223","units","0","v1105269742","1.3.1","4457","","","","0"
"2010","Canada","2016A000011124","10 to 19 employees","Number of enterprises","Number","223","units","0","v1105269744","1.4.1","1036","","","","0"
"2011","Canada","2016A000011124","10 to 19 employees","Number of enterprises","Number","223","units","0","v1105269744","1.4.1","966","","","","0"
"2012","Canada","2016A000011124","10 to 19 employees","Number of enterprises","Number","223","units","0","v1105269744","1.4.1","1209","","","","0"
"2013","Canada","2016A000011124","10 to 19 employees","Number of enterprises","Number","223","units","0","v1105269744","1.4.1","2272","","","","0"
"2014","Canada","2016A000011124","10 to 19 employees","Number of enterprises","Number","223","units","0","v1105269744","1.4.1","2321","","","","0"
"2015","Canada","2016A000011124","10 to 19 employees","Number of enterprises","Number","223","units","0","v1105269744","1.4.1","2417","","","","0"
"2016","Canada","2016A000011124","10 to 19 employees","Number of enterprises","Number","223","units","0","v1105269744","1.4.1","2612","","","","0"
"2017","Canada","2016A000011124","10 to 19 employees","Number of enterprises","Number","223","units","0","v1105269744","1.4.1","2629","","","","0"
"2018","Canada","2016A000011124","10 to 19 employees","Number of enterprises","Number","223","units","0","v1105269744","1.4.1","2647","","","","0"
"2019","Canada","2016A000011124","10 to 19 employees","Number of enterprises","Number","223","units","0","v1105269744","1.4.1","2637","","","","0"
"2020","Canada","2016A000011124","10 to 19 employees","Number of enterprises","Number","223","units","0","v1105269744","1.4.1","3483","","","","0"
"2021","Canada","2016A000011124","10 to 19 employees","Number of enterprises","Number","223","units","0","v1105269744","1.4.1","4022","","","","0"
"2010","Canada","2016A000011124","20 to 49 employees","Number of enterprises","Number","223","units","0","v1105269746","1.5.1","1081","","","","0"
"2011","Canada","2016A000011124","20 to 49 employees","Number of enterprises","Number","223","units","0","v1105269746","1.5.1","1045","","","","0"
"2012","Canada","2016A000011124","20 to 49 employees","Number of enterprises","Number","223","units","0","v1105269746","1.5.1","1409","","","","0"
"2013","Canada","2016A000011124","20 to 49 employees","Number of enterprises","Number","223","units","0","v1105269746","1.5.1","2421","","","","0"
"2014","Canada","2016A000011124","20 to 49 employees","Number of enterprises","Number","223","units","0","v1105269746","1.5.1","2458","","","","0"
"2015","Canada","2016A000011124","20 to 49 employees","Number of enterprises","Number","223","units","0","v1105269746","1.5.1","2763","","","","0"
"2016","Canada","2016A000011124","20 to 49 employees","Number of enterprises","Number","223","units","0","v1105269746","1.5.1","2848","","","","0"
"2017","Canada","2016A000011124","20 to 49 employees","Number of enterprises","Number","223","units","0","v1105269746","1.5.1","2882","","","","0"
"2018","Canada","2016A000011124","20 to 49 employees","Number of enterprises","Number","223","units","0","v1105269746","1.5.1","2754","","","","0"
"2019","Canada","2016A000011124","20 to 49 employees","Number of enterprises","Number","223","units","0","v1105269746","1.5.1","2993","","","","0"
"2020","Canada","2016A000011124","20 to 49 employees","Number of enterprises","Number","223","units","0","v1105269746","1.5.1","3115","","","","0"
"2021","Canada","2016A000011124","20 to 49 employees","Number of enterprises","Number","223","units","0","v1105269746","1.5.1","3657","","","","0"
"2010","Canada","2016A000011124","50 to 99 employees","Number of enterprises","Number","223","units","0","v1105269748","1.6.1","546","","","","0"
"2011","Canada","2016A000011124","50 to 99 employees","Number of enterprises","Number","223","units","0","v1105269748","1.6.1","510","","","","0"
"2012","Canada","2016A000011124","50 to 99 employees","Number of enterprises","Number","223","units","0","v1105269748","1.6.1","775","","","","0"
"2013","Canada","2016A000011124","50 to 99 employees","Number of enterprises","Number","223","units","0","v1105269748","1.6.1","1356","","","","0"
"2014","Canada","2016A000011124","50 to 99 employees","Number of enterprises","Number","223","units","0","v1105269748","1.6.1","1381","","","","0"
"2015","Canada","2016A000011124","50 to 99 employees","Number of enterprises","Number","223","units","0","v1105269748","1.6.1","1423","","","","0"
"2016","Canada","2016A000011124","50 to 99 employees","Number of enterprises","Number","223","units","0","v1105269748","1.6.1","1471","","","","0"
"2017","Canada","2016A000011124","50 to 99 employees","Number of enterprises","Number","223","units","0","v1105269748","1.6.1","1506","","","","0"
"2018","Canada","2016A000011124","50 to 99 employees","Number of enterprises","Number","223","units","0","v1105269748","1.6.1","1471","","","","0"
"2019","Canada","2016A000011124","50 to 99 employees","Number of enterprises","Number","223","units","0","v1105269748","1.6.1","1603","","","","0"
"2020","Canada","2016A000011124","50 to 99 employees","Number of enterprises","Number","223","units","0","v1105269748","1.6.1","1577","","","","0"
"2021","Canada","2016A000011124","50 to 99 employees","Number of enterprises","Number","223","units","0","v1105269748","1.6.1","1820","","","","0"
"2010","Canada","2016A000011124","100 to 249 employees","Number of enterprises","Number","223","units","0","v1105269750","1.7.1","381","","","","0"
"2011","Canada","2016A000011124","100 to 249 employees","Number of enterprises","Number","223","units","0","v1105269750","1.7.1","394","","","","0"
"2012","Canada","2016A000011124","100 to 249 employees","Number of enterprises","Number","223","units","0","v1105269750","1.7.1","617","","","","0"
"2013","Canada","2016A000011124","100 to 249 employees","Number of enterprises","Number","223","units","0","v1105269750","1.7.1","1045","","","","0"
"2014","Canada","2016A000011124","100 to 249 employees","Number of enterprises","Number","223","units","0","v1105269750","1.7.1","1030","","","","0"
"2015","Canada","2016A000011124","100 to 249 employees","Number of enterprises","Number","223","units","0","v1105269750","1.7.1","1147","","","","0"
"2016","Canada","2016A000011124","100 to 249 employees","Number of enterprises","Number","223","units","0","v1105269750","1.7.1","1156","","","","0"
"2017","Canada","2016A000011124","100 to 249 employees","Number of enterprises","Number","223","units","0","v1105269750","1.7.1","1165","","","","0"
"2018","Canada","2016A000011124","100 to 249 employees","Number of enterprises","Number","223","units","0","v1105269750","1.7.1","1198","","","","0"
"2019","Canada","2016A000011124","100 to 249 employees","Number of enterprises","Number","223","units","0","v1105269750","1.7.1","1248","","","","0"
"2020","Canada","2016A000011124","100 to 249 employees","Number of enterprises","Number","223","units","0","v1105269750","1.7.1","1182","","","","0"
"2021","Canada","2016A000011124","100 to 249 employees","Number of enterprises","Number","223","units","0","v1105269750","1.7.1","1302","","","","0"
"2010","Canada","2016A000011124","250 to 499 employees","Number of enterprises","Number","223","units","0","v1105269752","1.8.1","201","","","","0"
"2011","Canada","2016A000011124","250 to 499 employees","Number of enterprises","Number","223","units","0","v1105269752","1.8.1","200","","","","0"
"2012","Canada","2016A000011124","250 to 499 employees","Number of enterprises","Number","223","units","0","v1105269752","1.8.1","297","","","","0"
"2013","Canada","2016A000011124","250 to 499 employees","Number of enterprises","Number","223","units","0","v1105269752","1.8.1","475","","","","0"
"2014","Canada","2016A000011124","250 to 499 employees","Number of enterprises","Number","223","units","0","v1105269752","1.8.1","478","","","","0"
"2015","Canada","2016A000011124","250 to 499 employees","Number of enterprises","Number","223","units","0","v1105269752","1.8.1","482","","","","0"
"2016","Canada","2016A000011124","250 to 499 employees","Number of enterprises","Number","223","units","0","v1105269752","1.8.1","515","","","","0"
"2017","Canada","2016A000011124","250 to 499 employees","Number of enterprises","Number","223","units","0","v1105269752","1.8.1","493","","","","0"
"2018","Canada","2016A000011124","250 to 499 employees","Number of enterprises","Number","223","units","0","v1105269752","1.8.1","452","","","","0"
"2019","Canada","2016A000011124","250 to 499 employees","Number of enterprises","Number","223","units","0","v1105269752","1.8.1","537","","","","0"
"2020","Canada","2016A000011124","250 to 499 employees","Number of enterprises","Number","223","units","0","v1105269752","1.8.1","493","","","","0"
"2021","Canada","2016A000011124","250 to 499 employees","Number of enterprises","Number","223","units","0","v1105269752","1.8.1","542","","","","0"
"2010","Canada","2016A000011124","500 employees or more","Number of enterprises","Number","223","units","0","v1105269754","1.9.1","483","","","","0"
"2011","Canada","2016A000011124","500 employees or more","Number of enterprises","Number","223","units","0","v1105269754","1.9.1","454","","","","0"
"2012","Canada","2016A000011124","500 employees or more","Number of enterprises","Number","223","units","0","v1105269754","1.9.1","600","","","","0"
"2013","Canada","2016A000011124","500 employees or more","Number of enterprises","Number","223","units","0","v1105269754","1.9.1","796","","","","0"
"2014","Canada","2016A000011124","500 employees or more","Number of enterprises","Number","223","units","0","v1105269754","1.9.1","801","","","","0"
"2015","Canada","2016A000011124","500 employees or more","Number of enterprises","Number","223","units","0","v1105269754","1.9.1","850","","","","0"
"2016","Canada","2016A000011124","500 employees or more","Number of enterprises","Number","223","units","0","v1105269754","1.9.1","863","","","","0"
"2017","Canada","2016A000011124","500 employees or more","Number of enterprises","Number","223","units","0","v1105269754","1.9.1","841","","","","0"
"2018","Canada","2016A000011124","500 employees or more","Number of enterprises","Number","223","units","0","v1105269754","1.9.1","896","","","","0"
"2019","Canada","2016A000011124","500 employees or more","Number of enterprises","Number","223","units","0","v1105269754","1.9.1","918","","","","0"
"2020","Canada","2016A000011124","500 employees or more","Number of enterprises","Number","223","units","0","v1105269754","1.9.1","883","","","","0"
"2021","Canada","2016A000011124","500 employees or more","Number of enterprises","Number","223","units","0","v1105269754","1.9.1","989","","","","0"
"2010","Canada","2016A000011124","No employment data","Number of enterprises","Number","223","units","0","v1105269738","1.10.1","1530","","","","0"
"2011","Canada","2016A000011124","No employment data","Number of enterprises","Number","223","units","0","v1105269738","1.10.1","1467","","","","0"
"2012","Canada","2016A000011124","No employment data","Number of enterprises","Number","223","units","0","v1105269738","1.10.1","1895","","","","0"
"2013","Canada","2016A000011124","No employment data","Number of enterprises","Number","223","units","0","v1105269738","1.10.1","4389","","","","0"
"2014","Canada","2016A000011124","No employment data","Number of enterprises","Number","223","units","0","v1105269738","1.10.1","5142","","","","0"
"2015","Canada","2016A000011124","No employment data","Number of enterprises","Number","223","units","0","v1105269738","1.10.1","5623","","","","0"
"2016","Canada","2016A000011124","No employment data","Number of enterprises","Number","223","units","0","v1105269738","1.10.1","5615","","","","0"
"2017","Canada","2016A000011124","No employment data","Number of enterprises","Number","223","units","0","v1105269738","1.10.1","5309","","","","0"
"2018","Canada","2016A000011124","No employment data","Number of enterprises","Number","223","units","0","v1105269738","1.10.1","4541","","","","0"
"2019","Canada","2016A000011124","No employment data","Number of enterprises","Number","223","units","0","v1105269738","1.10.1","4558","","","","0"
"2020","Canada","2016A000011124","No employment data","Number of enterprises","Number","223","units","0","v1105269738","1.10.1","6782","","","","0"
"2021","Canada","2016A000011124","No employment data","Number of enterprises","Number","223","units","0","v1105269738","1.10.1","9176","","","","0"


