"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Enterprise size","Environmental benefits from product or process innovations that were new to one of the business's markets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579885153","1.1.1.1","59.5","A","","","1"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579885154","1.1.1.2","56.1","B","","","1"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579885160","1.1.1.8","63.0","B","","","1"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579885163","1.1.1.11","60.3","B","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579885217","1.2.1.1","49.6","E","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579885218","1.2.1.2","47.3","E","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579885224","1.2.1.8","64.1","E","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579885227","1.2.1.11","59.3","E","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579885281","1.3.1.1","57.4","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579885282","1.3.1.2","46.7","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579885288","1.3.1.8","58.5","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579885291","1.3.1.11","65.2","B","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579885537","1.7.1.1","66.5","B","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579885538","1.7.1.2","56.1","E","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579885544","1.7.1.8","67.5","B","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579885547","1.7.1.11","61.2","B","","","1"
"2020/2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579885601","1.8.1.1","60.9","E","","","1"
"2020/2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579885602","1.8.1.2","59.0","E","","","1"
"2020/2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579885608","1.8.1.8","62.6","E","","","1"
"2020/2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579885611","1.8.1.11","69.2","E","","","1"
"2020/2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579885665","1.9.1.1","59.1","A","","","1"
"2020/2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579885666","1.9.1.2","55.5","A","","","1"
"2020/2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579885672","1.9.1.8","54.3","B","","","1"
"2020/2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579885675","1.9.1.11","56.7","B","","","1"
"2020/2022","Canada","2021A000011124","Total, selected services industries","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579887905","1.44.1.1","59.7","B","","","1"
"2020/2022","Canada","2021A000011124","Total, selected services industries","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579887906","1.44.1.2","56.1","B","","","1"
"2020/2022","Canada","2021A000011124","Total, selected services industries","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579887912","1.44.1.8","66.4","B","","","1"
"2020/2022","Canada","2021A000011124","Total, selected services industries","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579887915","1.44.1.11","58.7","B","","","1"
"2020/2022","Canada","2021A000011124","Wholesale trade [41]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579887969","1.45.1.1","59.1","B","","","1"
"2020/2022","Canada","2021A000011124","Wholesale trade [41]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579887970","1.45.1.2","52.3","B","","","1"
"2020/2022","Canada","2021A000011124","Wholesale trade [41]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579887976","1.45.1.8","63.7","B","","","1"
"2020/2022","Canada","2021A000011124","Wholesale trade [41]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579887979","1.45.1.11","63.4","B","","","1"
"2020/2022","Canada","2021A000011124","Retail trade [44-45]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579888865","1.59.1.1","59.1","E","","","1"
"2020/2022","Canada","2021A000011124","Retail trade [44-45]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579888866","1.59.1.2","59.4","E","","","1"
"2020/2022","Canada","2021A000011124","Retail trade [44-45]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579888872","1.59.1.8","65.6","E","","","1"
"2020/2022","Canada","2021A000011124","Retail trade [44-45]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579888875","1.59.1.11","57.0","E","","","1"
"2020/2022","Canada","2021A000011124","Transportation and warehousing [48-49]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579888929","1.60.1.1","58.0","B","","","1"
"2020/2022","Canada","2021A000011124","Transportation and warehousing [48-49]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579888930","1.60.1.2","53.5","B","","","1"
"2020/2022","Canada","2021A000011124","Transportation and warehousing [48-49]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579888936","1.60.1.8","56.8","B","","","1"
"2020/2022","Canada","2021A000011124","Transportation and warehousing [48-49]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579888939","1.60.1.11","58.9","B","","","1"
"2020/2022","Canada","2021A000011124","All transportation","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579888993","1.61.1.1","57.0","B","","","1"
"2020/2022","Canada","2021A000011124","All transportation","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579888994","1.61.1.2","53.4","B","","","1"
"2020/2022","Canada","2021A000011124","All transportation","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579889000","1.61.1.8","56.1","B","","","1"
"2020/2022","Canada","2021A000011124","All transportation","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579889003","1.61.1.11","58.7","B","","","1"
"2020/2022","Canada","2021A000011124","Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579889441","1.68.1.1","64.6","E","","","1"
"2020/2022","Canada","2021A000011124","Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579889442","1.68.1.2","54.0","E","","","1"
"2020/2022","Canada","2021A000011124","Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579889448","1.68.1.8","61.7","E","","","1"
"2020/2022","Canada","2021A000011124","Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579889451","1.68.1.11","59.6","E","","","1"
"2020/2022","Canada","2021A000011124","Information and cultural industries [51]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579889505","1.69.1.1","49.3","B","","","1"
"2020/2022","Canada","2021A000011124","Information and cultural industries [51]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579889506","1.69.1.2","36.3","B","","","1"
"2020/2022","Canada","2021A000011124","Information and cultural industries [51]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579889512","1.69.1.8","58.7","E","","","1"
"2020/2022","Canada","2021A000011124","Information and cultural industries [51]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579889515","1.69.1.11","55.9","B","","","1"
"2020/2022","Canada","2021A000011124","Finance and insurance excluding monetary authorities","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579890081","1.78.1.1","57.8","B","","","1"
"2020/2022","Canada","2021A000011124","Finance and insurance excluding monetary authorities","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579890082","1.78.1.2","56.8","B","","","1"
"2020/2022","Canada","2021A000011124","Finance and insurance excluding monetary authorities","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579890088","1.78.1.8","55.0","E","","","1"
"2020/2022","Canada","2021A000011124","Finance and insurance excluding monetary authorities","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579890091","1.78.1.11","56.1","B","","","1"
"2020/2022","Canada","2021A000011124","Real estate and rental and leasing [53]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579890465","1.84.1.1","62.1","E","","","1"
"2020/2022","Canada","2021A000011124","Real estate and rental and leasing [53]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579890466","1.84.1.2","68.4","E","","","1"
"2020/2022","Canada","2021A000011124","Real estate and rental and leasing [53]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579890472","1.84.1.8","81.9","E","","","1"
"2020/2022","Canada","2021A000011124","Real estate and rental and leasing [53]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579890475","1.84.1.11","64.9","E","","","1"
"2020/2022","Canada","2021A000011124","Professional, scientific and technical services [54]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579890529","1.85.1.1","65.4","B","","","1"
"2020/2022","Canada","2021A000011124","Professional, scientific and technical services [54]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579890530","1.85.1.2","58.7","B","","","1"
"2020/2022","Canada","2021A000011124","Professional, scientific and technical services [54]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579890536","1.85.1.8","69.2","B","","","1"
"2020/2022","Canada","2021A000011124","Professional, scientific and technical services [54]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579890539","1.85.1.11","63.5","B","","","1"
"2020/2022","Canada","2021A000011124","Management of companies and enterprises [55]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579891105","1.94.1.1","61.3","E","","","1"
"2020/2022","Canada","2021A000011124","Management of companies and enterprises [55]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579891106","1.94.1.2","58.5","E","","","1"
"2020/2022","Canada","2021A000011124","Management of companies and enterprises [55]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579891112","1.94.1.8","52.0","E","","","1"
"2020/2022","Canada","2021A000011124","Management of companies and enterprises [55]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579891115","1.94.1.11","49.7","E","","","1"
"2020/2022","Canada","2021A000011124","Administrative and support, waste management and remediation services [56]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579891169","1.95.1.1","57.1","E","","","1"
"2020/2022","Canada","2021A000011124","Administrative and support, waste management and remediation services [56]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579891170","1.95.1.2","50.4","E","","","1"
"2020/2022","Canada","2021A000011124","Administrative and support, waste management and remediation services [56]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579891176","1.95.1.8","77.9","B","","","1"
"2020/2022","Canada","2021A000011124","Administrative and support, waste management and remediation services [56]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579891179","1.95.1.11","45.1","E","","","1"


