"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Enterprise size","Co-operation on innovation activities","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Innovation co-operation partners","Percent","239","units","0","v1038037076","1.1.1.1","14.0","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Parent, affiliated or subsidiary businesses, type of co-operation partner","Percent","239","units","0","v1038037077","1.1.1.2","38.0","B","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Suppliers of equipment, materials, components or software, type of co-operation partner","Percent","239","units","0","v1038037081","1.1.1.6","51.0","B","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Clients or customers from the private sector, type of co-operation partner","Percent","239","units","0","v1038037085","1.1.1.10","34.0","B","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Clients or customers from the public sector, type of co-operation partner","Percent","239","units","0","v1038037089","1.1.1.14","11.9","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Competitors or other businesses in the sector, type of co-operation partner","Percent","239","units","0","v1038037093","1.1.1.18","14.8","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Consultants and commercial laboratories, type of co-operation partner","Percent","239","units","0","v1038037097","1.1.1.22","16.7","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Universities, colleges or other higher education institutions, type of co-operation partner","Percent","239","units","0","v1038037101","1.1.1.26","17.6","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Government, public or private research institutes, type of co-operation partner","Percent","239","units","0","v1038037105","1.1.1.30","10.6","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Non-profit organizations, type of co-operation partner","Percent","239","units","0","v1271931316","1.1.1.38","5.7","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Households or individuals, type of co-operation partner","Percent","239","units","0","v1271931320","1.1.1.42","3.6","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Other co-operation partners, type of co-operation partner","Percent","239","units","0","v1038037109","1.1.1.34","20.1","B","","","1"
"2020/2022","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Innovation co-operation partners","Percent","239","units","0","v1038037224","1.2.1.1","18.4","B","","","1"
"2020/2022","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Parent, affiliated or subsidiary businesses, type of co-operation partner","Percent","239","units","0","v1038037225","1.2.1.2","27.6","E","","","1"
"2020/2022","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Suppliers of equipment, materials, components or software, type of co-operation partner","Percent","239","units","0","v1038037229","1.2.1.6","40.8","E","","","1"
"2020/2022","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Clients or customers from the private sector, type of co-operation partner","Percent","239","units","0","v1038037233","1.2.1.10","25.0","E","","","1"
"2020/2022","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Clients or customers from the public sector, type of co-operation partner","Percent","239","units","0","v1038037237","1.2.1.14","9.2","B","","","1"
"2020/2022","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Competitors or other businesses in the sector, type of co-operation partner","Percent","239","units","0","v1038037241","1.2.1.18","19.7","E","","","1"
"2020/2022","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Consultants and commercial laboratories, type of co-operation partner","Percent","239","units","0","v1038037245","1.2.1.22","16.0","E","","","1"
"2020/2022","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Universities, colleges or other higher education institutions, type of co-operation partner","Percent","239","units","0","v1038037249","1.2.1.26","","F","","","1"
"2020/2022","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Government, public or private research institutes, type of co-operation partner","Percent","239","units","0","v1038037253","1.2.1.30","11.6","B","","","1"
"2020/2022","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Non-profit organizations, type of co-operation partner","Percent","239","units","0","v1271931348","1.2.1.38","6.0","B","","","1"
"2020/2022","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Households or individuals, type of co-operation partner","Percent","239","units","0","v1271931352","1.2.1.42","0.0","E","","","1"
"2020/2022","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Other co-operation partners, type of co-operation partner","Percent","239","units","0","v1038037257","1.2.1.34","1.1","A","","","1"
"2020/2022","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Innovation co-operation partners","Percent","239","units","0","v1038037372","1.3.1.1","21.2","B","","","1"
"2020/2022","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Parent, affiliated or subsidiary businesses, type of co-operation partner","Percent","239","units","0","v1038037373","1.3.1.2","26.7","B","","","1"
"2020/2022","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Suppliers of equipment, materials, components or software, type of co-operation partner","Percent","239","units","0","v1038037377","1.3.1.6","50.3","E","","","1"
"2020/2022","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Clients or customers from the private sector, type of co-operation partner","Percent","239","units","0","v1038037381","1.3.1.10","14.2","B","","","1"
"2020/2022","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Clients or customers from the public sector, type of co-operation partner","Percent","239","units","0","v1038037385","1.3.1.14","17.5","E","","","1"
"2020/2022","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Competitors or other businesses in the sector, type of co-operation partner","Percent","239","units","0","v1038037389","1.3.1.18","21.2","B","","","1"
"2020/2022","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Consultants and commercial laboratories, type of co-operation partner","Percent","239","units","0","v1038037393","1.3.1.22","15.1","B","","","1"
"2020/2022","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Universities, colleges or other higher education institutions, type of co-operation partner","Percent","239","units","0","v1038037397","1.3.1.26","22.9","B","","","1"
"2020/2022","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Government, public or private research institutes, type of co-operation partner","Percent","239","units","0","v1038037401","1.3.1.30","9.7","B","","","1"
"2020/2022","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Non-profit organizations, type of co-operation partner","Percent","239","units","0","v1271931380","1.3.1.38","2.8","A","","","1"
"2020/2022","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Households or individuals, type of co-operation partner","Percent","239","units","0","v1271931384","1.3.1.42","0.0","E","","","1"
"2020/2022","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Other co-operation partners, type of co-operation partner","Percent","239","units","0","v1038037405","1.3.1.34","12.5","B","","","1"
"2020/2022","Canada","2016A000011124","Utilities [22]","Total, all enterprise sizes","Innovation co-operation partners","Percent","239","units","0","v1038037964","1.7.1.1","27.7","B","","","1"
"2020/2022","Canada","2016A000011124","Utilities [22]","Total, all enterprise sizes","Parent, affiliated or subsidiary businesses, type of co-operation partner","Percent","239","units","0","v1038037965","1.7.1.2","68.7","B","","","1"
"2020/2022","Canada","2016A000011124","Utilities [22]","Total, all enterprise sizes","Suppliers of equipment, materials, components or software, type of co-operation partner","Percent","239","units","0","v1038037969","1.7.1.6","57.1","E","","","1"
"2020/2022","Canada","2016A000011124","Utilities [22]","Total, all enterprise sizes","Clients or customers from the private sector, type of co-operation partner","Percent","239","units","0","v1038037973","1.7.1.10","29.7","E","","","1"
"2020/2022","Canada","2016A000011124","Utilities [22]","Total, all enterprise sizes","Clients or customers from the public sector, type of co-operation partner","Percent","239","units","0","v1038037977","1.7.1.14","25.9","E","","","1"
"2020/2022","Canada","2016A000011124","Utilities [22]","Total, all enterprise sizes","Competitors or other businesses in the sector, type of co-operation partner","Percent","239","units","0","v1038037981","1.7.1.18","30.8","E","","","1"
"2020/2022","Canada","2016A000011124","Utilities [22]","Total, all enterprise sizes","Consultants and commercial laboratories, type of co-operation partner","Percent","239","units","0","v1038037985","1.7.1.22","41.8","E","","","1"
"2020/2022","Canada","2016A000011124","Utilities [22]","Total, all enterprise sizes","Universities, colleges or other higher education institutions, type of co-operation partner","Percent","239","units","0","v1038037989","1.7.1.26","53.3","E","","","1"
"2020/2022","Canada","2016A000011124","Utilities [22]","Total, all enterprise sizes","Government, public or private research institutes, type of co-operation partner","Percent","239","units","0","v1038037993","1.7.1.30","40.7","E","","","1"
"2020/2022","Canada","2016A000011124","Utilities [22]","Total, all enterprise sizes","Non-profit organizations, type of co-operation partner","Percent","239","units","0","v1271931508","1.7.1.38","19.5","E","","","1"
"2020/2022","Canada","2016A000011124","Utilities [22]","Total, all enterprise sizes","Households or individuals, type of co-operation partner","Percent","239","units","0","v1271931512","1.7.1.42","14.4","B","","","1"
"2020/2022","Canada","2016A000011124","Utilities [22]","Total, all enterprise sizes","Other co-operation partners, type of co-operation partner","Percent","239","units","0","v1038037997","1.7.1.34","17.6","B","","","1"
"2020/2022","Canada","2016A000011124","Construction [23]","Total, all enterprise sizes","Innovation co-operation partners","Percent","239","units","0","v1038038112","1.8.1.1","13.0","B","","","1"
"2020/2022","Canada","2016A000011124","Construction [23]","Total, all enterprise sizes","Parent, affiliated or subsidiary businesses, type of co-operation partner","Percent","239","units","0","v1038038113","1.8.1.2","45.1","E","","","1"
"2020/2022","Canada","2016A000011124","Construction [23]","Total, all enterprise sizes","Suppliers of equipment, materials, components or software, type of co-operation partner","Percent","239","units","0","v1038038117","1.8.1.6","59.1","E","","","1"
"2020/2022","Canada","2016A000011124","Construction [23]","Total, all enterprise sizes","Clients or customers from the private sector, type of co-operation partner","Percent","239","units","0","v1038038121","1.8.1.10","31.6","E","","","1"
"2020/2022","Canada","2016A000011124","Construction [23]","Total, all enterprise sizes","Clients or customers from the public sector, type of co-operation partner","Percent","239","units","0","v1038038125","1.8.1.14","20.4","E","","","1"
"2020/2022","Canada","2016A000011124","Construction [23]","Total, all enterprise sizes","Competitors or other businesses in the sector, type of co-operation partner","Percent","239","units","0","v1038038129","1.8.1.18","14.8","E","","","1"
"2020/2022","Canada","2016A000011124","Construction [23]","Total, all enterprise sizes","Consultants and commercial laboratories, type of co-operation partner","Percent","239","units","0","v1038038133","1.8.1.22","18.5","E","","","1"
"2020/2022","Canada","2016A000011124","Construction [23]","Total, all enterprise sizes","Universities, colleges or other higher education institutions, type of co-operation partner","Percent","239","units","0","v1038038137","1.8.1.26","11.0","E","","","1"
"2020/2022","Canada","2016A000011124","Construction [23]","Total, all enterprise sizes","Government, public or private research institutes, type of co-operation partner","Percent","239","units","0","v1038038141","1.8.1.30","0.2","A","","","1"
"2020/2022","Canada","2016A000011124","Construction [23]","Total, all enterprise sizes","Non-profit organizations, type of co-operation partner","Percent","239","units","0","v1271931540","1.8.1.38","12.1","E","","","1"
"2020/2022","Canada","2016A000011124","Construction [23]","Total, all enterprise sizes","Households or individuals, type of co-operation partner","Percent","239","units","0","v1271931544","1.8.1.42","9.2","E","","","1"
"2020/2022","Canada","2016A000011124","Construction [23]","Total, all enterprise sizes","Other co-operation partners, type of co-operation partner","Percent","239","units","0","v1038038145","1.8.1.34","28.6","E","","","1"
"2020/2022","Canada","2016A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Innovation co-operation partners","Percent","239","units","0","v1038038260","1.9.1.1","17.0","A","","","1"
"2020/2022","Canada","2016A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Parent, affiliated or subsidiary businesses, type of co-operation partner","Percent","239","units","0","v1038038261","1.9.1.2","34.2","B","","","1"
"2020/2022","Canada","2016A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Suppliers of equipment, materials, components or software, type of co-operation partner","Percent","239","units","0","v1038038265","1.9.1.6","55.6","B","","","1"
"2020/2022","Canada","2016A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Clients or customers from the private sector, type of co-operation partner","Percent","239","units","0","v1038038269","1.9.1.10","40.0","B","","","1"
"2020/2022","Canada","2016A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Clients or customers from the public sector, type of co-operation partner","Percent","239","units","0","v1038038273","1.9.1.14","10.4","A","","","1"
"2020/2022","Canada","2016A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Competitors or other businesses in the sector, type of co-operation partner","Percent","239","units","0","v1038038277","1.9.1.18","9.1","A","","","1"
"2020/2022","Canada","2016A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Consultants and commercial laboratories, type of co-operation partner","Percent","239","units","0","v1038038281","1.9.1.22","20.8","A","","","1"
"2020/2022","Canada","2016A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Universities, colleges or other higher education institutions, type of co-operation partner","Percent","239","units","0","v1038038285","1.9.1.26","24.7","A","","","1"
"2020/2022","Canada","2016A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Government, public or private research institutes, type of co-operation partner","Percent","239","units","0","v1038038289","1.9.1.30","17.8","A","","","1"
"2020/2022","Canada","2016A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Non-profit organizations, type of co-operation partner","Percent","239","units","0","v1271931572","1.9.1.38","2.6","A","","","1"
"2020/2022","Canada","2016A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Households or individuals, type of co-operation partner","Percent","239","units","0","v1271931576","1.9.1.42","2.3","A","","","1"
"2020/2022","Canada","2016A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Other co-operation partners, type of co-operation partner","Percent","239","units","0","v1038038293","1.9.1.34","7.8","A","","","1"
"2020/2022","Canada","2016A000011124","Total, selected services industries","Total, all enterprise sizes","Innovation co-operation partners","Percent","239","units","0","v1038043440","1.44.1.1","13.0","A","","","1"
"2020/2022","Canada","2016A000011124","Total, selected services industries","Total, all enterprise sizes","Parent, affiliated or subsidiary businesses, type of co-operation partner","Percent","239","units","0","v1038043441","1.44.1.2","38.6","B","","","1"
"2020/2022","Canada","2016A000011124","Total, selected services industries","Total, all enterprise sizes","Suppliers of equipment, materials, components or software, type of co-operation partner","Percent","239","units","0","v1038043445","1.44.1.6","48.1","B","","","1"
"2020/2022","Canada","2016A000011124","Total, selected services industries","Total, all enterprise sizes","Clients or customers from the private sector, type of co-operation partner","Percent","239","units","0","v1038043449","1.44.1.10","34.0","B","","","1"
"2020/2022","Canada","2016A000011124","Total, selected services industries","Total, all enterprise sizes","Clients or customers from the public sector, type of co-operation partner","Percent","239","units","0","v1038043453","1.44.1.14","10.2","A","","","1"
"2020/2022","Canada","2016A000011124","Total, selected services industries","Total, all enterprise sizes","Competitors or other businesses in the sector, type of co-operation partner","Percent","239","units","0","v1038043457","1.44.1.18","16.1","B","","","1"
"2020/2022","Canada","2016A000011124","Total, selected services industries","Total, all enterprise sizes","Consultants and commercial laboratories, type of co-operation partner","Percent","239","units","0","v1038043461","1.44.1.22","14.7","B","","","1"
"2020/2022","Canada","2016A000011124","Total, selected services industries","Total, all enterprise sizes","Universities, colleges or other higher education institutions, type of co-operation partner","Percent","239","units","0","v1038043465","1.44.1.26","13.9","B","","","1"
"2020/2022","Canada","2016A000011124","Total, selected services industries","Total, all enterprise sizes","Government, public or private research institutes, type of co-operation partner","Percent","239","units","0","v1038043469","1.44.1.30","10.6","A","","","1"
"2020/2022","Canada","2016A000011124","Total, selected services industries","Total, all enterprise sizes","Non-profit organizations, type of co-operation partner","Percent","239","units","0","v1271932692","1.44.1.38","5.1","A","","","1"
"2020/2022","Canada","2016A000011124","Total, selected services industries","Total, all enterprise sizes","Households or individuals, type of co-operation partner","Percent","239","units","0","v1271932696","1.44.1.42","2.9","A","","","1"
"2020/2022","Canada","2016A000011124","Total, selected services industries","Total, all enterprise sizes","Other co-operation partners, type of co-operation partner","Percent","239","units","0","v1038043473","1.44.1.34","24.1","B","","","1"
"2020/2022","Canada","2016A000011124","Wholesale trade [41]","Total, all enterprise sizes","Innovation co-operation partners","Percent","239","units","0","v1038043588","1.45.1.1","15.1","A","","","1"
"2020/2022","Canada","2016A000011124","Wholesale trade [41]","Total, all enterprise sizes","Parent, affiliated or subsidiary businesses, type of co-operation partner","Percent","239","units","0","v1038043589","1.45.1.2","41.9","B","","","1"
"2020/2022","Canada","2016A000011124","Wholesale trade [41]","Total, all enterprise sizes","Suppliers of equipment, materials, components or software, type of co-operation partner","Percent","239","units","0","v1038043593","1.45.1.6","65.9","B","","","1"
"2020/2022","Canada","2016A000011124","Wholesale trade [41]","Total, all enterprise sizes","Clients or customers from the private sector, type of co-operation partner","Percent","239","units","0","v1038043597","1.45.1.10","38.2","B","","","1"
"2020/2022","Canada","2016A000011124","Wholesale trade [41]","Total, all enterprise sizes","Clients or customers from the public sector, type of co-operation partner","Percent","239","units","0","v1038043601","1.45.1.14","19.7","B","","","1"
"2020/2022","Canada","2016A000011124","Wholesale trade [41]","Total, all enterprise sizes","Competitors or other businesses in the sector, type of co-operation partner","Percent","239","units","0","v1038043605","1.45.1.18","12.4","B","","","1"
"2020/2022","Canada","2016A000011124","Wholesale trade [41]","Total, all enterprise sizes","Consultants and commercial laboratories, type of co-operation partner","Percent","239","units","0","v1038043609","1.45.1.22","14.4","B","","","1"
"2020/2022","Canada","2016A000011124","Wholesale trade [41]","Total, all enterprise sizes","Universities, colleges or other higher education institutions, type of co-operation partner","Percent","239","units","0","v1038043613","1.45.1.26","12.9","B","","","1"
"2020/2022","Canada","2016A000011124","Wholesale trade [41]","Total, all enterprise sizes","Government, public or private research institutes, type of co-operation partner","Percent","239","units","0","v1038043617","1.45.1.30","18.0","B","","","1"
"2020/2022","Canada","2016A000011124","Wholesale trade [41]","Total, all enterprise sizes","Non-profit organizations, type of co-operation partner","Percent","239","units","0","v1271932724","1.45.1.38","3.6","A","","","1"
"2020/2022","Canada","2016A000011124","Wholesale trade [41]","Total, all enterprise sizes","Households or individuals, type of co-operation partner","Percent","239","units","0","v1271932728","1.45.1.42","4.8","B","","","1"
"2020/2022","Canada","2016A000011124","Wholesale trade [41]","Total, all enterprise sizes","Other co-operation partners, type of co-operation partner","Percent","239","units","0","v1038043621","1.45.1.34","18.2","B","","","1"
"2020/2022","Canada","2016A000011124","Retail trade [44-45]","Total, all enterprise sizes","Innovation co-operation partners","Percent","239","units","0","v1038045660","1.59.1.1","9.5","B","","","1"
"2020/2022","Canada","2016A000011124","Retail trade [44-45]","Total, all enterprise sizes","Parent, affiliated or subsidiary businesses, type of co-operation partner","Percent","239","units","0","v1038045661","1.59.1.2","","F","","","1"
"2020/2022","Canada","2016A000011124","Retail trade [44-45]","Total, all enterprise sizes","Suppliers of equipment, materials, components or software, type of co-operation partner","Percent","239","units","0","v1038045665","1.59.1.6","","F","","","1"
"2020/2022","Canada","2016A000011124","Retail trade [44-45]","Total, all enterprise sizes","Clients or customers from the private sector, type of co-operation partner","Percent","239","units","0","v1038045669","1.59.1.10","","F","","","1"
"2020/2022","Canada","2016A000011124","Retail trade [44-45]","Total, all enterprise sizes","Clients or customers from the public sector, type of co-operation partner","Percent","239","units","0","v1038045673","1.59.1.14","0.7","A","","","1"
"2020/2022","Canada","2016A000011124","Retail trade [44-45]","Total, all enterprise sizes","Competitors or other businesses in the sector, type of co-operation partner","Percent","239","units","0","v1038045677","1.59.1.18","19.1","E","","","1"
"2020/2022","Canada","2016A000011124","Retail trade [44-45]","Total, all enterprise sizes","Consultants and commercial laboratories, type of co-operation partner","Percent","239","units","0","v1038045681","1.59.1.22","2.8","B","","","1"
"2020/2022","Canada","2016A000011124","Retail trade [44-45]","Total, all enterprise sizes","Universities, colleges or other higher education institutions, type of co-operation partner","Percent","239","units","0","v1038045685","1.59.1.26","0.3","B","","","1"
"2020/2022","Canada","2016A000011124","Retail trade [44-45]","Total, all enterprise sizes","Government, public or private research institutes, type of co-operation partner","Percent","239","units","0","v1038045689","1.59.1.30","0.7","A","","","1"
"2020/2022","Canada","2016A000011124","Retail trade [44-45]","Total, all enterprise sizes","Non-profit organizations, type of co-operation partner","Percent","239","units","0","v1271933172","1.59.1.38","2.1","A","","","1"
"2020/2022","Canada","2016A000011124","Retail trade [44-45]","Total, all enterprise sizes","Households or individuals, type of co-operation partner","Percent","239","units","0","v1271933176","1.59.1.42","2.6","B","","","1"
"2020/2022","Canada","2016A000011124","Retail trade [44-45]","Total, all enterprise sizes","Other co-operation partners, type of co-operation partner","Percent","239","units","0","v1038045693","1.59.1.34","","F","","","1"
"2020/2022","Canada","2016A000011124","Transportation and warehousing [48-49]","Total, all enterprise sizes","Innovation co-operation partners","Percent","239","units","0","v1038045808","1.60.1.1","11.3","A","","","1"
"2020/2022","Canada","2016A000011124","Transportation and warehousing [48-49]","Total, all enterprise sizes","Parent, affiliated or subsidiary businesses, type of co-operation partner","Percent","239","units","0","v1038045809","1.60.1.2","33.9","C","","","1"
"2020/2022","Canada","2016A000011124","Transportation and warehousing [48-49]","Total, all enterprise sizes","Suppliers of equipment, materials, components or software, type of co-operation partner","Percent","239","units","0","v1038045813","1.60.1.6","60.7","C","","","1"
