"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Enterprise size","Innovations with environmental benefits","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579899121","1.1.1.1","46.5","A","","","1"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579899122","1.1.1.2","39.9","A","","","1"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579899128","1.1.1.8","20.6","A","","","1"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579899131","1.1.1.11","29.1","A","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579899185","1.2.1.1","54.7","E","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579899186","1.2.1.2","50.2","E","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579899192","1.2.1.8","28.0","B","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579899195","1.2.1.11","18.8","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579899249","1.3.1.1","64.4","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579899250","1.3.1.2","54.6","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579899256","1.3.1.8","43.4","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579899259","1.3.1.11","39.7","B","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579899505","1.7.1.1","63.1","B","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579899506","1.7.1.2","43.4","B","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579899512","1.7.1.8","46.6","B","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579899515","1.7.1.11","47.0","B","","","1"
"2020/2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579899569","1.8.1.1","48.6","B","","","1"
"2020/2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579899570","1.8.1.2","41.6","B","","","1"
"2020/2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579899576","1.8.1.8","21.6","B","","","1"
"2020/2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579899579","1.8.1.11","30.5","B","","","1"
"2020/2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579899633","1.9.1.1","56.7","A","","","1"
"2020/2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579899634","1.9.1.2","49.6","A","","","1"
"2020/2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579899640","1.9.1.8","24.7","A","","","1"
"2020/2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579899643","1.9.1.11","31.6","A","","","1"
"2020/2022","Canada","2021A000011124","Total, selected services industries","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579901873","1.44.1.1","42.5","A","","","1"
"2020/2022","Canada","2021A000011124","Total, selected services industries","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579901874","1.44.1.2","36.2","A","","","1"
"2020/2022","Canada","2021A000011124","Total, selected services industries","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579901880","1.44.1.8","18.4","A","","","1"
"2020/2022","Canada","2021A000011124","Total, selected services industries","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579901883","1.44.1.11","28.3","A","","","1"
"2020/2022","Canada","2021A000011124","Wholesale trade [41]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579901937","1.45.1.1","49.0","A","","","1"
"2020/2022","Canada","2021A000011124","Wholesale trade [41]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579901938","1.45.1.2","41.3","A","","","1"
"2020/2022","Canada","2021A000011124","Wholesale trade [41]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579901944","1.45.1.8","18.8","A","","","1"
"2020/2022","Canada","2021A000011124","Wholesale trade [41]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579901947","1.45.1.11","34.2","A","","","1"
"2020/2022","Canada","2021A000011124","Retail trade [44-45]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579902833","1.59.1.1","44.6","B","","","1"
"2020/2022","Canada","2021A000011124","Retail trade [44-45]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579902834","1.59.1.2","39.3","B","","","1"
"2020/2022","Canada","2021A000011124","Retail trade [44-45]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579902840","1.59.1.8","17.8","B","","","1"
"2020/2022","Canada","2021A000011124","Retail trade [44-45]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579902843","1.59.1.11","32.3","B","","","1"
"2020/2022","Canada","2021A000011124","Transportation and warehousing [48-49]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579902897","1.60.1.1","50.6","B","","","1"
"2020/2022","Canada","2021A000011124","Transportation and warehousing [48-49]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579902898","1.60.1.2","42.8","B","","","1"
"2020/2022","Canada","2021A000011124","Transportation and warehousing [48-49]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579902904","1.60.1.8","33.4","B","","","1"
"2020/2022","Canada","2021A000011124","Transportation and warehousing [48-49]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579902907","1.60.1.11","27.2","B","","","1"
"2020/2022","Canada","2021A000011124","All transportation","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579902961","1.61.1.1","50.5","B","","","1"
"2020/2022","Canada","2021A000011124","All transportation","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579902962","1.61.1.2","42.5","B","","","1"
"2020/2022","Canada","2021A000011124","All transportation","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579902968","1.61.1.8","33.8","B","","","1"
"2020/2022","Canada","2021A000011124","All transportation","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579902971","1.61.1.11","25.7","B","","","1"
"2020/2022","Canada","2021A000011124","Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579903409","1.68.1.1","51.8","B","","","1"
"2020/2022","Canada","2021A000011124","Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579903410","1.68.1.2","44.6","B","","","1"
"2020/2022","Canada","2021A000011124","Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579903416","1.68.1.8","30.9","B","","","1"
"2020/2022","Canada","2021A000011124","Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579903419","1.68.1.11","37.2","B","","","1"
"2020/2022","Canada","2021A000011124","Information and cultural industries [51]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579903473","1.69.1.1","27.1","B","","","1"
"2020/2022","Canada","2021A000011124","Information and cultural industries [51]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579903474","1.69.1.2","20.2","A","","","1"
"2020/2022","Canada","2021A000011124","Information and cultural industries [51]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579903480","1.69.1.8","8.4","A","","","1"
"2020/2022","Canada","2021A000011124","Information and cultural industries [51]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579903483","1.69.1.11","12.9","A","","","1"
"2020/2022","Canada","2021A000011124","Finance and insurance excluding monetary authorities","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579904049","1.78.1.1","27.2","B","","","1"
"2020/2022","Canada","2021A000011124","Finance and insurance excluding monetary authorities","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579904050","1.78.1.2","19.3","A","","","1"
"2020/2022","Canada","2021A000011124","Finance and insurance excluding monetary authorities","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579904056","1.78.1.8","7.7","A","","","1"
"2020/2022","Canada","2021A000011124","Finance and insurance excluding monetary authorities","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579904059","1.78.1.11","20.0","B","","","1"
"2020/2022","Canada","2021A000011124","Real estate and rental and leasing [53]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579904433","1.84.1.1","51.7","B","","","1"
"2020/2022","Canada","2021A000011124","Real estate and rental and leasing [53]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579904434","1.84.1.2","42.5","B","","","1"
"2020/2022","Canada","2021A000011124","Real estate and rental and leasing [53]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579904440","1.84.1.8","27.7","B","","","1"
"2020/2022","Canada","2021A000011124","Real estate and rental and leasing [53]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579904443","1.84.1.11","36.2","B","","","1"
"2020/2022","Canada","2021A000011124","Professional, scientific and technical services [54]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579904497","1.85.1.1","36.5","B","","","1"
"2020/2022","Canada","2021A000011124","Professional, scientific and technical services [54]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579904498","1.85.1.2","30.1","B","","","1"
"2020/2022","Canada","2021A000011124","Professional, scientific and technical services [54]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579904504","1.85.1.8","16.3","A","","","1"
"2020/2022","Canada","2021A000011124","Professional, scientific and technical services [54]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579904507","1.85.1.11","25.0","B","","","1"
"2020/2022","Canada","2021A000011124","Management of companies and enterprises [55]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579905073","1.94.1.1","50.9","B","","","1"
"2020/2022","Canada","2021A000011124","Management of companies and enterprises [55]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579905074","1.94.1.2","47.6","B","","","1"
"2020/2022","Canada","2021A000011124","Management of companies and enterprises [55]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579905080","1.94.1.8","20.0","B","","","1"
"2020/2022","Canada","2021A000011124","Management of companies and enterprises [55]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579905083","1.94.1.11","33.4","B","","","1"
"2020/2022","Canada","2021A000011124","Administrative and support, waste management and remediation services [56]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579905137","1.95.1.1","39.9","B","","","1"
"2020/2022","Canada","2021A000011124","Administrative and support, waste management and remediation services [56]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579905138","1.95.1.2","35.2","B","","","1"
"2020/2022","Canada","2021A000011124","Administrative and support, waste management and remediation services [56]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579905144","1.95.1.8","16.4","B","","","1"
"2020/2022","Canada","2021A000011124","Administrative and support, waste management and remediation services [56]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579905147","1.95.1.11","21.3","B","","","1"


